Sun Jan 04 12:22:15 2015    profile_out1.txt

         1868107 function calls (1860775 primitive calls) in 20.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.013    0.013   20.885   20.885 main3.py:1(<module>)
        1    0.040    0.040   19.579   19.579 main3.py:29(main3)
        8    0.003    0.000   13.806    1.726 main3.py:156(get_mainsheet_dataset)
        6    0.000    0.000    6.931    1.155 api.py:17(request)
        6    0.000    0.000    6.882    1.147 sessions.py:364(request)
        6    0.000    0.000    6.836    1.139 sessions.py:529(send)
        1    0.001    0.001    6.803    6.803 __init__.py:12(fetch)
        1    0.003    0.003    6.800    6.800 cfm.py:54(do)
        6    0.000    0.000    6.638    1.106 adapters.py:294(send)
        6    0.000    0.000    6.624    1.104 connectionpool.py:388(urlopen)
        6    0.000    0.000    6.563    1.094 connectionpool.py:266(_make_request)
        8    0.001    0.000    6.498    0.812 __init__.py:80(__init__)
        8    0.000    0.000    6.405    0.801 __init__.py:206(_feed)
        4    0.000    0.000    6.044    1.511 api.py:80(post)
        1    0.004    0.004    5.220    5.220 cfm.py:82(reg)
        2    0.001    0.000    5.178    2.589 sales.py:30(add_foreclosures)
        2    0.000    0.000    5.148    2.574 sales.py:26(get_items)
      133    0.007    0.000    4.915    0.037 socket.py:406(readline)
       12    0.000    0.000    4.869    0.406 httplib.py:977(getresponse)
       12    0.001    0.000    4.868    0.406 httplib.py:395(begin)
       12    0.000    0.000    4.848    0.404 httplib.py:358(_read_status)
       71    0.000    0.000    4.824    0.068 ssl.py:213(recv)
       71    0.000    0.000    4.824    0.068 ssl.py:132(read)
       71    4.823    0.068    4.823    0.068 {built-in method read}
        2    0.051    0.025    4.260    2.130 sales.py:5(get_rows)
        1    0.000    0.000    3.405    3.405 main3.py:22(get_non_cancelled_nums)
        3    0.000    0.000    3.329    1.110 _lxml.py:221(feed)
       12    0.000    0.000    3.304    0.275 httplib.py:939(request)
       12    0.001    0.000    3.304    0.275 httplib.py:960(_send_request)
       12    0.000    0.000    3.301    0.275 httplib.py:924(endheaders)
       12    0.001    0.000    3.301    0.275 httplib.py:782(_send_output)
       14    0.000    0.000    3.300    0.236 httplib.py:755(send)
        1    0.000    0.000    3.205    3.205 cfm.py:159(get_orig_mortgage_url_from_rtext)
        1    0.009    0.009    3.204    3.204 cfm.py:98(get_reg_actions_dataset)
        1    0.003    0.003    3.141    3.141 __init__.py:40(fetch)
        1    0.008    0.008    2.873    2.873 bcpao.py:234(get_bcpaco_item)
        8    0.000    0.000    2.667    0.333 xl_builder.py:320(add_sheet)
        1    0.005    0.005    2.665    2.665 xl_builder.py:89(add_to_row)
        1    0.000    0.000    2.657    2.657 tax.py:301(get_pay_all_from_taxid)
        3    0.173    0.058    2.608    0.869 {method 'feed' of 'lxml.etree._FeedParser' objects}
        1    0.000    0.000    2.567    2.567 tax.py:291(get_tax_text_from_taxid)
        1    0.000    0.000    2.336    2.336 _html5lib.py:33(feed)
     3206    0.121    0.000    2.304    0.001 element.py:1165(find_all)
        1    0.000    0.000    2.289    2.289 html5parser.py:213(parse)
        1    0.000    0.000    2.289    2.289 html5parser.py:80(_parse)
        1    0.088    0.088    2.243    2.243 html5parser.py:145(mainLoop)
     3206    0.128    0.000    2.183    0.001 element.py:478(_find_all)
        8    0.000    0.000    2.046    0.256 ssl.py:333(wrap_socket)
        8    0.001    0.000    2.046    0.256 ssl.py:89(__init__)
        4    0.000    0.000    1.894    0.473 connection.py:153(connect)
        1    0.000    0.000    1.869    1.869 cfm.py:140(get_reg_actions_text)
     9133    0.247    0.000    1.731    0.000 _lxml.py:126(start)
        4    0.000    0.000    1.715    0.429 ssl_.py:128(ssl_wrap_socket)
        1    0.000    0.000    1.576    1.576 cfm.py:22(case_info)
    10501    0.119    0.000    1.529    0.000 __init__.py:324(handle_starttag)
        4    0.000    0.000    1.378    0.345 urllib2.py:122(urlopen)
        4    0.000    0.000    1.376    0.344 urllib2.py:374(open)
        4    0.000    0.000    1.374    0.343 urllib2.py:402(_open)
        8    0.000    0.000    1.374    0.172 urllib2.py:362(_call_chain)
        4    0.000    0.000    1.374    0.343 urllib2.py:1193(https_open)
        4    0.001    0.000    1.374    0.343 urllib2.py:1113(do_open)
        8    1.336    0.167    1.336    0.167 {_ssl.sslwrap}
       12    0.001    0.000    1.248    0.104 socket.py:537(create_connection)
     9133    0.109    0.000    1.208    0.000 _lxml.py:175(end)
    30181    0.437    0.000    1.206    0.000 __init__.py:260(endData)
        1    0.020    0.020    1.143    1.143 jac_core.py:5(<module>)
     6991    0.039    0.000    1.102    0.000 html5parser.py:209(normalizedTokens)
        2    0.001    0.000    1.027    0.513 MyRecordSet.py:5(<module>)
        2    0.041    0.020    1.026    0.513 MyRecord.py:5(<module>)
     6991    0.162    0.000    1.017    0.000 tokenizer.py:57(__iter__)
    11798    0.233    0.000    0.933    0.000 element.py:1525(search)
        1    0.000    0.000    0.931    0.931 __init__.py:33(fetch)
        1    0.001    0.001    0.931    0.931 bclerk.py:20(get_legal_by_case)
        4    0.000    0.000    0.917    0.229 httplib.py:1136(connect)
        2    0.000    0.000    0.888    0.444 api.py:47(get)
